2737      100           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      101           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      102           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      103           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      104           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      105           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      106           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      107           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      108           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      109           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      110           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      111           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      112           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      113           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      114           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      115           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      116           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      117           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      118           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      119           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      120           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      121           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      122           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      123           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      124           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      125           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      126           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      127           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      128           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      129           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      130           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      131           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      132           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      133           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      134           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      135           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      136           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      137           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      138           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      139           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      140           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      141           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      142           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      143           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      144           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      145           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      146           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      147           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      148           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      149           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      150           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      151           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      152           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      153           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      154           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      155           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      156           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      157           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      158           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      159           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      160           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      161           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      162           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      163           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      164           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      165           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      166           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      167           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      168           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      169           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      170           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      171           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      172           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      173           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      174           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      175           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      176           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      177           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      178           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      179           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      180           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      181           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      182           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      183           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      184           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      185           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      186           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      187           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      188           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      189           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      190           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      191           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      192           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      193           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      194           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      195           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      196           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      197           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      198           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      199           231 Kbyte/sec  ==>  1.807500 Mbit/sec
